organisation,federalState,media,transferType,period,amount
"accent Gründerservice GmbH","AT-3","Mediaplanet Themenzeitungen",2,20161,6464
"Agrarmarketing Tirol (Verein)","AT-7","Tiroler Tageszeitung",2,20161,16946.18
"Agrarmarkt Austria Marketing GesmbH","AT-9","ATV",2,20161,37060
"Agrarmarkt Austria Marketing GesmbH","AT-9","ATV2",2,20161,9636
"Agrarmarkt Austria Marketing GesmbH","AT-9","Blick ins Land",2,20161,7450
"Agrarmarkt Austria Marketing GesmbH","AT-9","Der Standard",2,20161,8950
"Agrarmarkt Austria Marketing GesmbH","AT-9","Die Presse",2,20161,17000
"Agrarmarkt Austria Marketing GesmbH","AT-9","Falstaff-Magazin",2,20161,18029
"Agrarmarkt Austria Marketing GesmbH","AT-9","Genuss auf Steirisch",2,20161,8628
"Agrarmarkt Austria Marketing GesmbH","AT-9","Genuss.pur",2,20161,5202
"Agrarmarkt Austria Marketing GesmbH","AT-9","GUSTO",2,20161,15314
"Agrarmarkt Austria Marketing GesmbH","AT-9","Heute",2,20161,12500
"Agrarmarkt Austria Marketing GesmbH","AT-9","Hitradio Ö3",2,20161,40369
"Agrarmarkt Austria Marketing GesmbH","AT-9","Kabel 1 austria",2,20161,37868
"Agrarmarkt Austria Marketing GesmbH","AT-9","Kronehit",2,20161,7021
"Agrarmarkt Austria Marketing GesmbH","AT-9","Kronen Zeitung",2,20161,73036
"Agrarmarkt Austria Marketing GesmbH","AT-9","Kurier",2,20161,7000
"Agrarmarkt Austria Marketing GesmbH","AT-9","Lebensart",2,20161,5202
"Agrarmarkt Austria Marketing GesmbH","AT-9","ORF 2",2,20161,316079
"Agrarmarkt Austria Marketing GesmbH","AT-9","ORF-Nachlese",2,20161,5742
"Agrarmarkt Austria Marketing GesmbH","AT-9","profil",2,20161,8560
"Agrarmarkt Austria Marketing GesmbH","AT-9","Puls 4",2,20161,47056
"Agrarmarkt Austria Marketing GesmbH","AT-9","Regal",2,20161,9608
"Agrarmarkt Austria Marketing GesmbH","AT-9","RTL",2,20161,47462
"Agrarmarkt Austria Marketing GesmbH","AT-9","RTL2",2,20161,15192
"Agrarmarkt Austria Marketing GesmbH","AT-9","Rundschau für den Lebensmittelhandel",2,20161,6732
"Agrarmarkt Austria Marketing GesmbH","AT-9","SAT.1 Österreich",2,20161,67506
"Agrarmarkt Austria Marketing GesmbH","AT-9","Servus Gute Küche",2,20161,5507
"Agrarmarkt Austria Marketing GesmbH","AT-9","Servus in Stadt & Land",2,20161,24133
"Agrarmarkt Austria Marketing GesmbH","AT-9","Servus TV",2,20161,14426
"Agrarmarkt Austria Marketing GesmbH","AT-9","VOX",2,20161,26784
"Agrarmarkt Austria Marketing GesmbH","AT-9","Woman",2,20161,9718
"Agrarmarkt Austria Marketing GesmbH","AT-9","W24",2,20161,13800
"AiNet Telekommunikations-Netzwerk Betriebs GmbH","AT-6","Kanal 3",2,20161,8917.200000000001
"AIT Austrian Institute of Technology GmbH","AT-9","Austria Innovativ",2,20161,6254.14
"AIT Austrian Institute of Technology GmbH","AT-9","Der Standard",2,20161,6500
"AIT Austrian Institute of Technology GmbH","AT-9","Die Presse",2,20161,6060
"AIT Austrian Institute of Technology GmbH","AT-9","Europäische Rundschau",2,20161,5470
"Akademie der bildenden Künste Wien","AT-9","Der Standard",2,20161,14143.3
"Akademie der bildenden Künste Wien","AT-9","Die Presse",2,20161,6300
"Akademie der Wirtschaftstreuhänder Gesellschaft m.b.H.","AT-9","SWI Steuer & Wirtschaft International",2,20161,6015
"Aktionsfinder GmbH","AT-5","Woman",2,20161,14776.74
"Aktionsfinder GmbH","AT-5","google.com",2,20161,13000
"Albertina","AT-9","BÜHNE",2,20161,11270
"Albertina","AT-9","Kurier",2,20161,7500
"Albertina","AT-9","VOR Magazin",2,20161,13800
"Allgemeine Unfallversicherungsanstalt","AT-9","Kleines Volk",2,20161,5594.4
"Arbeitsmarktservice","AT-9","Bezirksblätter Tirol",2,20161,14618.26
"Arbeitsmarktservice","AT-9","Bezirksrundschau Oberösterreich",2,20161,8309.209999999999
"Arbeitsmarktservice","AT-9","bz - Wiener Bezirkszeitung",2,20161,7176.56
"Arbeitsmarktservice","AT-9","gotv",2,20161,7599
"Arbeitsmarktservice","AT-9","Heute",2,20161,12036
"Arbeitsmarktservice","AT-9","Kleine Zeitung",2,20161,9973.799999999999
"Arbeitsmarktservice","AT-9","Kosmo",2,20161,5125
"Arbeitsmarktservice","AT-9","Kronen Zeitung",2,20161,23348.74
"Arbeitsmarktservice","AT-9","Life Radio",2,20161,10128.55
"Arbeitsmarktservice","AT-9","Madonna mit Österreich",2,20161,8223.75
"Arbeitsmarktservice","AT-9","OÖ Nachrichten",2,20161,14918.65
"Arbeitsmarktservice","AT-9","Radio Arabella 92.9 - Wien",2,20161,18900
"Arbeitsmarktservice","AT-9","Salzburger Nachrichten",2,20161,5151
"Arbeitsmarktservice","AT-9","Tiroler Tageszeitung",2,20161,10115
"Arbeitsmarktservice","AT-9","Vorarlberger Nachrichten",2,20161,5570.55
"Arbeitsmarktservice","AT-9","Weekend Magazin",2,20161,12048
"Arbeitsmarktservice","AT-9","Wienerin",2,20161,6630
"Arbeitsmarktservice","AT-9","Wirtschaftsnachrichten",2,20161,8280
"Arbeitsmarktservice","AT-9","heute.at",2,20161,7629.6
"ARE Austrian Real Estate GmbH","AT-9","Die Presse",2,20161,5192
"Ärztekammer für Oberösterreich","AT-4","Bezirksrundschau Oberösterreich",2,20161,12200
"Ärztekammer für Oberösterreich","AT-4","nachrichten.at (OÖNachrichten)",2,20161,6270
"Ärztekammer für Wien","AT-9","Heute",2,20161,13024.5
"Ärztekammer für Wien","AT-9","meine medizin App",2,20161,12500
"Ärztekammer für Wien","AT-9","netdoktor - Ihr Magazin für Gesundheit und Wohlbefinden",2,20161,35789.76
"Ärztekammer für Wien","AT-9","Österreich",2,20161,37600
"Ärztekammer für Wien","AT-9","Radio Arabella 92.9 - Wien",2,20161,17760.6
"Ärztekammer für Wien","AT-9","vielgesundheit.at",2,20161,8400
"Ausgleichstaxfonds","AT-9","Förderverein bidok Österreich Netzwerk für Inklusion",4,20161,17020
"Austria Wirtschaftsservice Gesellschaft mit beschränkter Haftung","AT-9","trend",2,20161,8211
"Austria Wirtschaftsservice Gesellschaft mit beschränkter Haftung","AT-9","futurezone.at",2,20161,13000
"Austrian Development Agency","AT-9","Die Presse",2,20161,7333.15
"Austrian Development Agency","AT-9","Kurier",2,20161,14400
"Austrian Development Agency","AT-9","Frauensolidarität",4,20161,147000
"Austrian Development Agency","AT-9","Mattersburger Kreis für für Entwicklungspolitik an den österreichischen Universitäten",4,20161,35000
"Austrian Power Grid AG","AT-9","Bezirksblätter Niederösterreich",2,20161,21627
"Austrian Power Grid AG","AT-9","Der Standard",2,20161,6230
"Austrian Power Grid AG","AT-9","Heute",2,20161,27002
"Austrian Power Grid AG","AT-9","Kronen Zeitung",2,20161,38490
"Austrian Power Grid AG","AT-9","NÖN",2,20161,31013
"Austrian Power Grid AG","AT-9","Österreich",2,20161,25134
"Austrian Power Grid AG","AT-9","Salzburger Nachrichten",2,20161,7494
"Austro Control Österreichische Gesellschaft für Zivilluftfahrt mit beschränkter Haftung","AT-9","Österreich",2,20161,8322.58
"Autobahnen- und SchnellstraßenFinanzierungs-Aktiengesellschaft","AT-9","Das Wiener Bezirksblatt",2,20161,5565.8
"Autobahnen- und SchnellstraßenFinanzierungs-Aktiengesellschaft","AT-9","Hitradio Ö3",2,20161,9893.9
"Autobahnen- und SchnellstraßenFinanzierungs-Aktiengesellschaft","AT-9","NÖN",2,20161,5879.1
"Bergbahnen Mitterbach GmbH","AT-3","Hitradio Ö3",2,20161,5150
"Bergbahnen Nassfeld Pramollo AG","AT-2","kleinezeitung.at",2,20161,8316.6
"Bergbahnen Turracher Höhe GmbH","AT-6","Kleine Zeitung",2,20161,5700.08
"Bergbahnen Turracher Höhe GmbH","AT-6","Kronehit",2,20161,12925
"Bergbahnen Turracher Höhe GmbH","AT-6","Kronen Zeitung",2,20161,5805
"Bergbahnen Turracher Höhe GmbH","AT-6","ORF Radio Kärnten",2,20161,10350
"Bergbahnen Turracher Höhe GmbH","AT-6","ORF Radio Kärnten",2,20161,8771.24
"Bergbahnen Turracher Höhe GmbH","AT-6","ORF Radio Steiermark",2,20161,11057.81
"Bergbahnen Turracher Höhe GmbH","AT-6","ORF Radio Steiermark",2,20161,10620.9
"Bergbahnen Turracher Höhe GmbH","AT-6","Radio Arabella Mostviertel",2,20161,19425
"Bestattung Graz GmbH","AT-6","der Grazer",2,20161,7350
"Bestattung Graz GmbH","AT-6","Kleine Zeitung",2,20161,15738.9
"BESTATTUNG WIEN GmbH","AT-9","Das Wiener Bezirksblatt",2,20161,18600
"B&F Wien - Bestattung und Friedhöfe GmbH","AT-9","Das Wiener Bezirksblatt",2,20161,14000
"Bundesbeschaffung GmbH","AT-9","gemeindetag.at",2,20161,7560
"Bundeskammer für Arbeiter und Angestellte","AT-9","ATV",2,20161,45394.6
"Bundeskammer für Arbeiter und Angestellte","AT-9","ATV2",2,20161,5105.31
"Bundeskammer für Arbeiter und Angestellte","AT-9","Hitradio Ö3",2,20161,57392.69
"Bundeskammer für Arbeiter und Angestellte","AT-9","Kabel 1 austria",2,20161,26826.52
"Bundeskammer für Arbeiter und Angestellte","AT-9","ORF eins",2,20161,85153.92
"Bundeskammer für Arbeiter und Angestellte","AT-9","ORF 2",2,20161,92250.08
"Bundeskammer für Arbeiter und Angestellte","AT-9","ProSieben Austria",2,20161,54216.08
"Bundeskammer für Arbeiter und Angestellte","AT-9","Puls 4",2,20161,37958.04
"Bundeskammer für Arbeiter und Angestellte","AT-9","SAT.1 Österreich",2,20161,22717.92
"Bundeskammer für Arbeiter und Angestellte","AT-9","Servus TV",2,20161,24002.71
"Bundeskammer für Arbeiter und Angestellte","AT-9","sixx Austria",2,20161,11521.86
"Bundeskammer für Arbeiter und Angestellte","AT-9","facebook.com",2,20161,6400
"Bundeskammer für Arbeiter und Angestellte","AT-9","krone.at",2,20161,5926.75
"Bundeskammer für Arbeiter und Angestellte","AT-9","news.at",2,20161,6890.63
"Bundeskammer für Arbeiter und Angestellte","AT-9","oe24.at",2,20161,9684.49
"Bundeskanzleramt","AT-9","Der Standard",2,20161,36000
"Bundeskanzleramt","AT-9","Die Presse",2,20161,21835.24
"Bundeskanzleramt","AT-9","Heute",2,20161,85042.22
"Bundeskanzleramt","AT-9","Kleine Zeitung",2,20161,75068.52
"Bundeskanzleramt","AT-9","Kronen Zeitung",2,20161,172951.2
"Bundeskanzleramt","AT-9","Kurier",2,20161,59662.9
"Bundeskanzleramt","AT-9","OÖ Nachrichten",2,20161,32230.08
"Bundeskanzleramt","AT-9","Österreich",2,20161,113608.88
"Bundeskanzleramt","AT-9","Salzburger Nachrichten",2,20161,22536
"Bundeskanzleramt","AT-9","Tiroler Tageszeitung",2,20161,23190.26
"Bundeskanzleramt","AT-9","Vorarlberger Nachrichten",2,20161,10638.56
"Bundeskanzleramt","AT-9","Diözese Eisenstadt - Kroatische Sektion im Pastoralamt",4,20161,40000
"Bundeskanzleramt","AT-9","Kroatischer Presseverein",4,20161,40000
"Bundeskanzleramt","AT-9","Kulturverein österreichischer Roma - Dokumentations- und Informationszentrum",4,20161,16830
"Bundeskanzleramt","AT-9","Otto Müller Verlag",4,20161,36350
"Bundeskanzleramt","AT-9","Passagen Verlag Wien Ges.m.b.H.",4,20161,13810
"Bundeskanzleramt","AT-9","Rat der Kärntner Slowenen",4,20161,40000
"Bundeskanzleramt","AT-9","substanca media ltd.",4,20161,6000
"Bundeskanzleramt","AT-9","Thomas Keul",4,20161,22000
"Bundeskanzleramt","AT-9","Verein für neue Literatur",4,20161,22600
"Bundeskanzleramt","AT-9","Verein Gruppe Wespennest",4,20161,54300
"Bundeskanzleramt","AT-9","Zentralverband slowenischer Organisationen in Kärnten",4,20161,40000
"Bundesministerium für Arbeit, Soziales und Konsumentenschutz","AT-9","Heute",2,20161,17215.01
"Bundesministerium für Arbeit, Soziales und Konsumentenschutz","AT-9","Kronen Zeitung",2,20161,24969.6
"Bundesministerium für Arbeit, Soziales und Konsumentenschutz","AT-9","Seeds",2,20161,6500
"Bundesministerium für Arbeit, Soziales und Konsumentenschutz","AT-9","Sonntag - Österreich",2,20161,15751.22
"Bundesministerium für Bildung und Frauen","Unknown","Antenne Steiermark",2,20161,6363
"Bundesministerium für Bildung und Frauen","Unknown","Bezirksblätter Burgenland",2,20161,7216.35
"Bundesministerium für Bildung und Frauen","Unknown","Bezirksblätter Niederösterreich",2,20161,5547.68
"Bundesministerium für Bildung und Frauen","Unknown","Bezirksblätter Tirol",2,20161,15538.63
"Bundesministerium für Bildung und Frauen","Unknown","Bezirksrundschau Oberösterreich",2,20161,6158.62
"Bundesministerium für Bildung und Frauen","Unknown","biber",2,20161,6944.13
"Bundesministerium für Bildung und Frauen","Unknown","BVZ",2,20161,5531.6
"Bundesministerium für Bildung und Frauen","Unknown","bz - Wiener Bezirkszeitung",2,20161,9045.26
"Bundesministerium für Bildung und Frauen","Unknown","Der Standard",2,20161,16680
"Bundesministerium für Bildung und Frauen","Unknown","Die Presse",2,20161,19442.3
"Bundesministerium für Bildung und Frauen","Unknown","Heute",2,20161,105791.88
"Bundesministerium für Bildung und Frauen","Unknown","Kleine Zeitung",2,20161,64330.26
"Bundesministerium für Bildung und Frauen","Unknown","Kronen Zeitung",2,20161,136014.5
"Bundesministerium für Bildung und Frauen","Unknown","Kurier",2,20161,16131
"Bundesministerium für Bildung und Frauen","Unknown","Madonna mit Österreich",2,20161,10965
"Bundesministerium für Bildung und Frauen","Unknown","NEWS",2,20161,10443.29
"Bundesministerium für Bildung und Frauen","Unknown","NÖN",2,20161,25414.82
"Bundesministerium für Bildung und Frauen","Unknown","OÖ Nachrichten",2,20161,39431.76
"Bundesministerium für Bildung und Frauen","Unknown","Österreich",2,20161,125831.29
"Bundesministerium für Bildung und Frauen","Unknown","profil",2,20161,11480.7
"Bundesministerium für Bildung und Frauen","Unknown","Rundschau - Oberländer Wochenzeitung",2,20161,6728.59
"Bundesministerium für Bildung und Frauen","Unknown","Salzburger Nachrichten",2,20161,13263.43
"Bundesministerium für Bildung und Frauen","Unknown","Tips",2,20161,10640
"Bundesministerium für Bildung und Frauen","Unknown","Tiroler Tageszeitung",2,20161,28003.26
"Bundesministerium für Bildung und Frauen","Unknown","Vorarlberger Nachrichten",2,20161,12285
"Bundesministerium für Bildung und Frauen","Unknown","Wann & Wo",2,20161,6940.97
"Bundesministerium für Bildung und Frauen","Unknown","Wienerin",2,20161,9750
"Bundesministerium für Bildung und Frauen","Unknown","Woche Kärnten",2,20161,17427.72
"Bundesministerium für Bildung und Frauen","Unknown","Woche Steiermark",2,20161,12018.57
"Bundesministerium für Bildung und Frauen","Unknown","Woman",2,20161,14774.97
"Bundesministerium für Bildung und Frauen","Unknown","kleinezeitung.at",2,20161,6375
"Bundesministerium für Bildung und Frauen","Unknown","krone.at",2,20161,9996
"Bundesministerium für Bildung und Frauen","Unknown","orf.at",2,20161,19999.99
"Bundesministerium für Europa, Integration und Äußeres","AT-9","biber",2,20161,12525
"Bundesministerium für Europa, Integration und Äußeres","AT-9","Der Standard",2,20161,10200
"Bundesministerium für Europa, Integration und Äußeres","AT-9","Die Presse",2,20161,10198.98
"Bundesministerium für Europa, Integration und Äußeres","AT-9","Heute",2,20161,63132.18
"Bundesministerium für Europa, Integration und Äußeres","AT-9","Kleine Zeitung",2,20161,17876.83
"Bundesministerium für Europa, Integration und Äußeres","AT-9","Kosmo",2,20161,8910
"Bundesministerium für Europa, Integration und Äußeres","AT-9","Kronen Zeitung",2,20161,26384.33
"Bundesministerium für Europa, Integration und Äußeres","AT-9","Kurier",2,20161,12600.01
"Bundesministerium für Europa, Integration und Äußeres","AT-9","Neues Volksblatt",2,20161,5400
"Bundesministerium für Europa, Integration und Äußeres","AT-9","OÖ Nachrichten",2,20161,7721.52
"Bundesministerium für Europa, Integration und Äußeres","AT-9","Österreich",2,20161,61471.03
"Bundesministerium für Europa, Integration und Äußeres","AT-9","profil",2,20161,11985
"Bundesministerium für Europa, Integration und Äußeres","AT-9","Salzburger Nachrichten",2,20161,12076.01
"Bundesministerium für Europa, Integration und Äußeres","AT-9","Tiroler Tageszeitung",2,20161,9509.370000000001
"Bundesministerium für Europa, Integration und Äußeres","AT-9","Vorarlberger Nachrichten",2,20161,15808.3
"Bundesministerium für Europa, Integration und Äußeres","AT-9","oe24.at",2,20161,23000
"Bundesministerium für Europa, Integration und Äußeres","AT-9","Biber Verlagsgesellschaft mbH",4,20161,44000
"Bundesministerium für Familien und Jugend","AT-9","Heute",2,20161,5664.4
"Bundesministerium für Familien und Jugend","AT-9","Kleine Zeitung",2,20161,5838.67
"Bundesministerium für Familien und Jugend","AT-9","Kronen Zeitung",2,20161,9000.73
"Bundesministerium für Familien und Jugend","AT-9","Kurier",2,20161,7068
"Bundesministerium für Familien und Jugend","AT-9","Österreich",2,20161,5888.37
"Bundesministerium für Familien und Jugend","AT-9","Sonntag - Österreich",2,20161,7181.65
"Bundesministerium für Familien und Jugend","AT-9","Tiroler Tageszeitung",2,20161,5642.05
"Bundesministerium für Familien und Jugend","AT-9","orf.at",2,20161,7000
"Bundesministerium für Familien und Jugend","AT-9","Bund Europäischer Jugend/Junge Europäische Föderalisten",4,20161,6000
"Bundesministerium für Familien und Jugend","AT-9","Kolpingwerk Österreich Bundessekretariat",4,20161,7092.75
"Bundesministerium für Finanzen","AT-9","ATV",2,20161,24883
"Bundesministerium für Finanzen","AT-9","Bezirksblätter Niederösterreich",2,20161,5006
"Bundesministerium für Finanzen","AT-9","Der Standard",2,20161,25517
"Bundesministerium für Finanzen","AT-9","Die Ganze Woche",2,20161,5304
"Bundesministerium für Finanzen","AT-9","Die Presse",2,20161,43278
"Bundesministerium für Finanzen","AT-9","Digilight Wien",2,20161,5269.32
"Bundesministerium für Finanzen","AT-9","Heute",2,20161,42521
"Bundesministerium für Finanzen","AT-9","Infoscreen Graz",2,20161,7930.14
"Bundesministerium für Finanzen","AT-9","Infoscreen Linz",2,20161,8109.15
"Bundesministerium für Finanzen","AT-9","Infoscreen Wien",2,20161,43793.8
"Bundesministerium für Finanzen","AT-9","Kleine Zeitung Kärnten",2,20161,16221
"Bundesministerium für Finanzen","AT-9","Kleine Zeitung Steiermark",2,20161,26493
"Bundesministerium für Finanzen","AT-9","Kronen Zeitung",2,20161,91055
"Bundesministerium für Finanzen","AT-9","Kurier",2,20161,47395
"Bundesministerium für Finanzen","AT-9","NEWS",2,20161,7106
"Bundesministerium für Finanzen","AT-9","OÖ Nachrichten",2,20161,33140
"Bundesministerium für Finanzen","AT-9","ORF eins",2,20161,78493
"Bundesministerium für Finanzen","AT-9","ORF 2",2,20161,49755
"Bundesministerium für Finanzen","AT-9","Österreich",2,20161,41259
"Bundesministerium für Finanzen","AT-9","profil",2,20161,7327
"Bundesministerium für Finanzen","AT-9","ProSieben Austria",2,20161,42273
"Bundesministerium für Finanzen","AT-9","Puls 4",2,20161,19741
"Bundesministerium für Finanzen","AT-9","RTL",2,20161,33343
"Bundesministerium für Finanzen","AT-9","RTL II",2,20161,9872
"Bundesministerium für Finanzen","AT-9","Salzburger Nachrichten",2,20161,40758
"Bundesministerium für Finanzen","AT-9","Servus TV",2,20161,18429
"Bundesministerium für Finanzen","AT-9","Super RTL",2,20161,10232
"Bundesministerium für Finanzen","AT-9","Tiroler Tageszeitung",2,20161,42917
"Bundesministerium für Finanzen","AT-9","Vorarlberger Nachrichten",2,20161,37544
"Bundesministerium für Finanzen","AT-9","VOX",2,20161,6809
"Bundesministerium für Finanzen","AT-9","Weekend Magazin",2,20161,10466
"Bundesministerium für Finanzen","AT-9","derstandard.at",2,20161,23885
"Bundesministerium für Finanzen","AT-9","diepresse.com",2,20161,9344
"Bundesministerium für Finanzen","AT-9","facebook.at",2,20161,14089
"Bundesministerium für Finanzen","AT-9","gmx.at",2,20161,12287
"Bundesministerium für Finanzen","AT-9","kleinezeitung.at",2,20161,16815
"Bundesministerium für Finanzen","AT-9","kommunalnet.at",2,20161,13605
"Bundesministerium für Finanzen","AT-9","krone.at",2,20161,12403
"Bundesministerium für Finanzen","AT-9","kurier.at",2,20161,16555
"Bundesministerium für Finanzen","AT-9","oe24.at",2,20161,22800
"Bundesministerium für Finanzen","AT-9","orf.at",2,20161,18613
"Bundesministerium für Finanzen","AT-9","tt.com",2,20161,9863
"Bundesministerium für Finanzen","AT-9","vol.at",2,20161,8120
"Bundesministerium für Finanzen","AT-9","youtube.at",2,20161,5698
"Bundesministerium für Gesundheit","Unknown","Biber Almanach",2,20161,5295.5
"Bundesministerium für Gesundheit","Unknown","Hebammen Elternbroschüre",2,20161,5950
"Bundesministerium für Gesundheit","Unknown","Heute",2,20161,19037.77
"Bundesministerium für Gesundheit","Unknown","Kronen Zeitung",2,20161,19760.87
"Bundesministerium für Gesundheit","Unknown","Kurier",2,20161,11250
"Bundesministerium für Gesundheit","Unknown","Österreich",2,20161,29050.87
"Bundesministerium für Inneres","AT-9","Das Wiener Bezirksblatt",2,20161,5457
"Bundesministerium für Inneres","AT-9","Heute",2,20161,39494.4
"Bundesministerium für Inneres","AT-9","Madonna mit Österreich",2,20161,50570.75
"Bundesministerium für Inneres","AT-9","VOR Magazin",2,20161,5586
"Bundesministerium für Inneres","AT-9","Weekend Magazin",2,20161,12298
"Bundesministerium für Inneres","AT-9","oe24.at",2,20161,19500
"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft","AT-9","facebook.com App",2,20161,10834.2
"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft","AT-9","GEWINN",2,20161,13825
"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft","AT-9","Heute",2,20161,5324.53
"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft","AT-9","Kleine Zeitung",2,20161,7515.78
"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft","AT-9","Kommunal",2,20161,8225
"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft","AT-9","Kronen Zeitung",2,20161,6903.36
"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft","AT-9","Kurier",2,20161,6818.5
"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft","AT-9","NÖN",2,20161,5852.25
"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft","AT-9","OÖ Nachrichten",2,20161,8893.6
"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft","AT-9","Österreichische BauernZeitung - Gesamtausgabe",2,20161,6895.2
"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft","AT-9","Sonntag - Österreich",2,20161,7181.65
"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft","AT-9","Tiroler Tageszeitung",2,20161,7311.3
"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft","AT-9","austria.com",2,20161,8000.94
"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft","AT-9","Bio Austria - Verein zur Förderung des Biologischen Landbaus",4,20161,256300
"Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft","AT-9","UNEP EST goes  EAST Clearing House Website",4,20161,20000
"Bundesministerium für Landesverteidigung und Sport","AT-9","Bezirksblätter Niederösterreich",2,20161,5008.72
"Bundesministerium für Landesverteidigung und Sport","AT-9","biber",2,20161,7476
"Bundesministerium für Landesverteidigung und Sport","AT-9","Der Standard",2,20161,5274.25
"Bundesministerium für Landesverteidigung und Sport","AT-9","Die Presse",2,20161,6267
"Bundesministerium für Landesverteidigung und Sport","AT-9","dot.",2,20161,7481.25
"Bundesministerium für Landesverteidigung und Sport","AT-9","Heute",2,20161,106188.1
"Bundesministerium für Landesverteidigung und Sport","AT-9","Kleine Zeitung",2,20161,8519.15
"Bundesministerium für Landesverteidigung und Sport","AT-9","Kronehit",2,20161,6528
"Bundesministerium für Landesverteidigung und Sport","AT-9","Kronen Zeitung",2,20161,35591.16
"Bundesministerium für Landesverteidigung und Sport","AT-9","Kurier",2,20161,23295.24
"Bundesministerium für Landesverteidigung und Sport","AT-9","Militär aktuell",2,20161,24700
"Bundesministerium für Landesverteidigung und Sport","AT-9","NÖN",2,20161,10637.84
"Bundesministerium für Landesverteidigung und Sport","AT-9","Österreich",2,20161,88045
"Bundesministerium für Landesverteidigung und Sport","AT-9","Radio Arabella 92.9 - Wien",2,20161,13889
"Bundesministerium für Landesverteidigung und Sport","AT-9","Salzburger Nachrichten",2,20161,6816.4
"Bundesministerium für Landesverteidigung und Sport","AT-9","Sport aktiv",2,20161,37500
"Bundesministerium für Landesverteidigung und Sport","AT-9","krone.at",2,20161,9497.4
"Bundesministerium für Verkehr, Innovation und Technologie","AT-9","APA Science",2,20161,9000
"Bundesministerium für Verkehr, Innovation und Technologie","AT-9","Der Standard",2,20161,24975
"Bundesministerium für Verkehr, Innovation und Technologie","AT-9","Die Presse",2,20161,35000
"Bundesministerium für Verkehr, Innovation und Technologie","AT-9","E-Media",2,20161,6840
"Bundesministerium für Verkehr, Innovation und Technologie","AT-9","Heute",2,20161,85678.47
"Bundesministerium für Verkehr, Innovation und Technologie","AT-9","Kronen Zeitung",2,20161,105876.38
"Bundesministerium für Verkehr, Innovation und Technologie","AT-9","Österreich",2,20161,255398.54
"Bundesministerium für Verkehr, Innovation und Technologie","AT-9","profil",2,20161,13680
"Bundesministerium für Verkehr, Innovation und Technologie","AT-9","trend",2,20161,11904
"Bundesministerium für Verkehr, Innovation und Technologie","AT-9","Weekend Magazin",2,20161,10466.05
"Bundesministerium für Verkehr, Innovation und Technologie","AT-9","Wirtschaftsnachrichten",2,20161,7535
"Bundesministerium für Wissenschaft, Forschung und Wirtschaft","AT-9","Austria Innovativ",2,20161,10912.5
"Bundesministerium für Wissenschaft, Forschung und Wirtschaft","AT-9","Das österreichische Industriemagazin",2,20161,7142.86
"Bundesministerium für Wissenschaft, Forschung und Wirtschaft","AT-9","Der Standard",2,20161,7446.25
"Bundesministerium für Wissenschaft, Forschung und Wirtschaft","AT-9","Die Presse",2,20161,17992.24
"Bundesministerium für Wissenschaft, Forschung und Wirtschaft","AT-9","Kurier",2,20161,9998
"Landesverband Burgenland Tourismus","Unknown","Der Standard",2,20161,5950
"Landesverband Burgenland Tourismus","Unknown","Die Presse",2,20161,6000
"Landesverband Burgenland Tourismus","Unknown","Kronen Zeitung",2,20161,15720
"Landesverband Burgenland Tourismus","Unknown","Kurier",2,20161,15871.62
"Landesverband Burgenland Tourismus","Unknown","ORF Radio Burgenland",2,20161,23553.72
"Landesverband Burgenland Tourismus","Unknown","ORF Radio Steiermark",2,20161,19539.83
"Landesverband Burgenland Tourismus","Unknown","ORF Radio Wien",2,20161,23305.05
"Landesverband Burgenland Tourismus","Unknown","schaumagazin",2,20161,5500
"Landesverband Burgenland Tourismus","Unknown","SIMs KULTUR",2,20161,13000
"Landesverband Burgenland Tourismus","Unknown","austria.info.at",2,20161,15267
"Landesverband Burgenland Tourismus","Unknown","facebook.com",2,20161,6622.3
"Landesverband Burgenland Tourismus","Unknown","google.at",2,20161,20181.45
"Burgtheater GmbH","AT-9","Der Standard",2,20161,7006
"Büro V - Jugend-, Kultur- und Veranstaltungsmanagement GmbH","AT-3","NÖN Nachrichten",2,20161,5749.6
"Business Upper Austria - OÖ Wirtschaftsagentur GmbH","AT-4","Die Macher",2,20161,8981
"Business Upper Austria - OÖ Wirtschaftsagentur GmbH","AT-4","OÖ Nachrichten",2,20161,6717.7
